state,district,location,latitude,longitude,date,groundwater_level_m_bgl,measurement
Punjab,Ludhiana,Doraha Kadon,30.76667,76.04167,1994-05-01,10.07,pre
Punjab,Ludhiana,Dehlon Dehlon,30.75417,75.84167,1994-05-01,6.38,pre
Punjab,Ludhiana,Pakhowal Gujjarwal,30.74167,75.74167,1994-05-01,10.85,pre
Punjab,Ludhiana,Samrala Utlan,30.81944,76.19667,1994-05-01,9.89,pre
Punjab,Ludhiana,Maloud Sahaora,30.65306,76.00778,1994-05-01,9.05,pre
Punjab,Ludhiana,Ludhiana City Mudian Kalan,30.8875,75.925,1994-05-01,13.24,pre
Punjab,Ludhiana,Machhiwara Sahlumajra,30.90611,76.25306,1994-05-01,5.1,pre
Punjab,Ludhiana,Khanna Khanna,30.72083,76.20833,1994-05-01,11.42,pre
Punjab,Ludhiana,Ludhiana City Ludhiana,30.90278,75.81111,1994-05-01,14.74,pre
Punjab,Ludhiana,Ludhiana-1 Badowal,30.8625,75.75,1994-05-01,11.36,pre
Punjab,Ludhiana,Ludhiana-1 Gill,30.85417,75.85833,1994-05-01,12.35,pre
Punjab,Ludhiana,Ludhiana-1 Kohara,30.86667,76.0,1994-05-01,9.43,pre
Punjab,Ludhiana,Ludhiana-1 Lalan,30.85,76.075,1994-05-01,3.04,pre
Punjab,Ludhiana,Machhiwara Samrala,30.88333,76.2,1994-05-01,9.96,pre
Punjab,Ludhiana,Ludhiana-2 Chaunta,30.95694,76.05833,1994-05-01,4.15,pre
Punjab,Ludhiana,Ludhiana-2 Pratapgarh,30.88889,76.06806,1994-05-01,8.49,pre
Punjab,Ludhiana,Machhiwara Hedon,30.82917,76.26667,1994-05-01,10.95,pre
Punjab,Ludhiana,Machhiwara Jodhwal,30.96611,76.20583,1994-05-01,5.12,pre
Punjab,Ludhiana,Machhiwara Machhiwara,30.9125,76.20417,1994-05-01,8.8,pre
Punjab,Ludhiana,Machhiwara Mushkabad,30.86611,76.23139,1994-05-01,8.9,pre
Punjab,Ludhiana,Machhiwara Punian,30.87556,76.14361,1994-05-01,3.85,pre
Punjab,Ludhiana,Ludhiana-2 Malakpur,30.92083,75.72222,1994-05-01,11.14,pre
Punjab,Ludhiana,Jagraon Manoke,30.67639,75.46056,1994-05-01,10.79,pre
Punjab,Ludhiana,Jagraon Jagraon,30.775,75.47083,1994-05-01,12.1,pre
Punjab,Ludhiana,Dehlon Dehlon,30.75417,75.84167,1995-01-01,7.8,jan
Punjab,Ludhiana,Doraha Kadon,30.76667,76.04167,1995-01-01,7.9,jan
Punjab,Ludhiana,Jagraon Chowkiman,30.82083,75.60694,1995-01-01,9.6,jan
Punjab,Ludhiana,Jagraon Jagraon,30.775,75.47083,1995-01-01,10.9,jan
Punjab,Ludhiana,Jagraon Manoke,30.67639,75.46056,1995-01-01,12.5,jan
Punjab,Ludhiana,Khanna Khanna,30.72083,76.20833,1995-01-01,11.0,jan
Punjab,Ludhiana,Ludhiana City Ludhiana,30.90278,75.81111,1995-01-01,15.1,jan
Punjab,Ludhiana,Ludhiana-1 Badowal,30.8625,75.75,1995-01-01,11.7,jan
Punjab,Ludhiana,Ludhiana-1 Kohara,30.86667,76.0,1995-01-01,8.9,jan
Punjab,Ludhiana,Ludhiana-2 Chaunta,30.95694,76.05833,1995-01-01,2.5,jan
Punjab,Ludhiana,Ludhiana-2 Malakpur,30.92083,75.72222,1995-01-01,10.7,jan
Punjab,Ludhiana,Ludhiana-2 Pratapgarh,30.88889,76.06806,1995-01-01,8.2,jan
Punjab,Ludhiana,Machhiwara Hedon,30.82917,76.26667,1995-01-01,9.6,jan
Punjab,Ludhiana,Machhiwara Jodhwal,30.96611,76.20583,1995-01-01,3.5,jan
Punjab,Ludhiana,Machhiwara Machhiwara,30.9125,76.20417,1995-01-01,8.2,jan
Punjab,Ludhiana,Machhiwara Mushkabad,30.86611,76.23139,1995-01-01,8.5,jan
Punjab,Ludhiana,Ludhiana-1 Lalan,30.85,76.075,1995-01-01,2.6,jan
Punjab,Ludhiana,Machhiwara Sahlumajra,30.90611,76.25306,1995-01-01,4.5,jan
Punjab,Ludhiana,Machhiwara Punian,30.87556,76.14361,1995-01-01,3.3,jan
Punjab,Ludhiana,Sidhwan Bet Sidhwan Bet,30.9375,75.4625,1995-01-01,3.2,jan
Punjab,Ludhiana,Sidhwan Bet Lilan,30.875,75.47917,1995-01-01,8.4,jan
Punjab,Ludhiana,Sidhwan Bet Bhundri,30.94028,75.58889,1995-01-01,4.6,jan
Punjab,Ludhiana,Samrala Utlan,30.81944,76.19667,1995-01-01,9.6,jan
Punjab,Ludhiana,Raikot Kamalpur,30.70833,75.525,1995-01-01,14.3,jan
Punjab,Ludhiana,Raikot Gobindgarh,30.6,75.5875,1995-01-01,9.8,jan
Punjab,Ludhiana,Samrala Seh,30.76361,76.23889,1995-01-01,12.1,jan
Punjab,Ludhiana,Pakhowal Mansuran,30.80833,75.75833,1995-01-01,10.2,jan
Punjab,Ludhiana,Pakhowal Kalak,30.71667,75.78472,1995-01-01,9.8,jan
Punjab,Ludhiana,Pakhowal Gujjarwal,30.74167,75.74167,1995-01-01,10.6,jan
Punjab,Ludhiana,Maloud Sahaora,30.65306,76.00778,1995-01-01,8.8,jan
Punjab,Ludhiana,Machhiwara Samrala,30.88333,76.2,1995-01-01,9.1,jan
Punjab,Ludhiana,Pakhowal Raikot,30.65556,75.6,1995-01-01,15.0,jan
Punjab,Ludhiana,Jagraon Chowkiman,30.82083,75.60694,1995-05-01,9.64,pre
Punjab,Ludhiana,Ludhiana City Mudian Kalan,30.8875,75.925,1995-05-01,13.24,pre
Punjab,Ludhiana,Jagraon Jagraon,30.775,75.47083,1995-05-01,11.35,pre
Punjab,Ludhiana,Jagraon Manoke,30.67639,75.46056,1995-05-01,12.74,pre
Punjab,Ludhiana,Khanna Khanna,30.72083,76.20833,1995-05-01,11.31,pre
Punjab,Ludhiana,Ludhiana City Ludhiana,30.90278,75.81111,1995-05-01,15.45,pre
Punjab,Ludhiana,Ludhiana-1 Badowal,30.8625,75.75,1995-05-01,11.91,pre
Punjab,Ludhiana,Ludhiana-2 Pratapgarh,30.88889,76.06806,1995-05-01,8.49,pre
Punjab,Ludhiana,Ludhiana-1 Gill,30.85417,75.85833,1995-05-01,12.35,pre
Punjab,Ludhiana,Ludhiana-1 Kohara,30.86667,76.0,1995-05-01,9.31,pre
Punjab,Ludhiana,Ludhiana-1 Lalan,30.85,76.075,1995-05-01,7.56,pre
Punjab,Ludhiana,Ludhiana-2 Chaunta,30.95694,76.05833,1995-05-01,3.82,pre
Punjab,Ludhiana,Ludhiana-2 Malakpur,30.92083,75.72222,1995-05-01,12.21,pre
Punjab,Ludhiana,Doraha Kadon,30.76667,76.04167,1995-05-01,8.53,pre
Punjab,Ludhiana,Machhiwara Mushkabad,30.86611,76.23139,1995-05-01,9.27,pre
Punjab,Ludhiana,Dehlon Dehlon,30.75417,75.84167,1995-05-01,6.38,pre
Punjab,Ludhiana,Machhiwara Machhiwara,30.9125,76.20417,1995-05-01,8.87,pre
Punjab,Ludhiana,Machhiwara Sahlumajra,30.90611,76.25306,1995-05-01,4.9,pre
Punjab,Ludhiana,Machhiwara Hedon,30.82917,76.26667,1995-05-01,11.35,pre
Punjab,Ludhiana,Sidhwan Bet Sidhwan Bet,30.9375,75.4625,1995-05-01,3.86,pre
Punjab,Ludhiana,Sidhwan Bet Lilan,30.875,75.47917,1995-05-01,9.6,pre
Punjab,Ludhiana,Sidhwan Bet Bhundri,30.94028,75.58889,1995-05-01,5.1,pre
Punjab,Ludhiana,Samrala Utlan,30.81944,76.19667,1995-05-01,10.3,pre
Punjab,Ludhiana,Samrala Seh,30.76361,76.23889,1995-05-01,13.11,pre
Punjab,Ludhiana,Machhiwara Punian,30.87556,76.14361,1995-05-01,3.51,pre
Punjab,Ludhiana,Raikot Kamalpur,30.70833,75.525,1995-05-01,14.33,pre
Punjab,Ludhiana,Pakhowal Raikot,30.65556,75.6,1995-05-01,15.5,pre
Punjab,Ludhiana,Pakhowal Mansuran,30.80833,75.75833,1995-05-01,10.52,pre
Punjab,Ludhiana,Pakhowal Kalak,30.71667,75.78472,1995-05-01,10.13,pre
Punjab,Ludhiana,Pakhowal Gujjarwal,30.74167,75.74167,1995-05-01,11.07,pre
Punjab,Ludhiana,Maloud Sahaora,30.65306,76.00778,1995-05-01,9.27,pre
Punjab,Ludhiana,Machhiwara Samrala,30.88333,76.2,1995-05-01,9.77,pre
Punjab,Ludhiana,Raikot Gobindgarh,30.6,75.5875,1995-05-01,10.6,pre
Punjab,Ludhiana,Samrala Seh,30.76361,76.23889,1996-01-01,12.2,jan
Punjab,Ludhiana,Sidhwan Bet Sidhwan Bet,30.9375,75.4625,1996-01-01,2.6,jan
Punjab,Ludhiana,Jagraon Manoke,30.67639,75.46056,1996-01-01,10.0,jan
Punjab,Ludhiana,Ludhiana City Mudian Kalan,30.8875,75.925,1996-01-01,10.6,jan
Punjab,Ludhiana,Ludhiana-1 Badowal,30.8625,75.75,1996-01-01,10.6,jan
Punjab,Ludhiana,Ludhiana-1 Gill,30.85417,75.85833,1996-01-01,9.2,jan
Punjab,Ludhiana,Ludhiana-1 Kohara,30.86667,76.0,1996-01-01,8.1,jan
Punjab,Ludhiana,Ludhiana-1 Lalan,30.85,76.075,1996-01-01,2.5,jan
Punjab,Ludhiana,Ludhiana-2 Chaunta,30.95694,76.05833,1996-01-01,3.1,jan
Punjab,Ludhiana,Ludhiana-2 Malakpur,30.92083,75.72222,1996-01-01,10.6,jan
Punjab,Ludhiana,Ludhiana-2 Pratapgarh,30.88889,76.06806,1996-01-01,7.8,jan
Punjab,Ludhiana,Machhiwara Hedon,30.82917,76.26667,1996-01-01,11.3,jan
Punjab,Ludhiana,Machhiwara Machhiwara,30.9125,76.20417,1996-01-01,8.5,jan
Punjab,Ludhiana,Machhiwara Mushkabad,30.86611,76.23139,1996-01-01,9.0,jan
Punjab,Ludhiana,Machhiwara Punian,30.87556,76.14361,1996-01-01,2.9,jan
Punjab,Ludhiana,Machhiwara Sahlumajra,30.90611,76.25306,1996-01-01,4.9,jan
Punjab,Ludhiana,Machhiwara Samrala,30.88333,76.2,1996-01-01,9.3,jan
Punjab,Ludhiana,Maloud Sahaora,30.65306,76.00778,1996-01-01,7.6,jan
Punjab,Ludhiana,Pakhowal Gujjarwal,30.74167,75.74167,1996-01-01,8.9,jan
Punjab,Ludhiana,Pakhowal Kalak,30.71667,75.78472,1996-01-01,8.1,jan
Punjab,Ludhiana,Pakhowal Mansuran,30.80833,75.75833,1996-01-01,8.4,jan
Punjab,Ludhiana,Pakhowal Raikot,30.65556,75.6,1996-01-01,12.9,jan
Punjab,Ludhiana,Raikot Gobindgarh,30.6,75.5875,1996-01-01,9.8,jan
Punjab,Ludhiana,Raikot Kamalpur,30.70833,75.525,1996-01-01,11.4,jan
Punjab,Ludhiana,Ludhiana City Ludhiana,30.90278,75.81111,1996-01-01,14.5,jan
Punjab,Ludhiana,Samrala Utlan,30.81944,76.19667,1996-01-01,9.8,jan
Punjab,Ludhiana,Dehlon Dehlon,30.75417,75.84167,1996-01-01,6.9,jan
Punjab,Ludhiana,Doraha Kadon,30.76667,76.04167,1996-01-01,10.0,jan
Punjab,Ludhiana,Sidhwan Bet Lilan,30.875,75.47917,1996-01-01,7.4,jan
Punjab,Ludhiana,Jagraon Chowkiman,30.82083,75.60694,1996-01-01,6.8,jan
Punjab,Ludhiana,Sidhwan Bet Lilan,30.875,75.47917,1996-05-01,8.0,pre
Punjab,Ludhiana,Sidhwan Bet Bhundri,30.94028,75.58889,1996-05-01,7.59,pre
Punjab,Ludhiana,Samrala Seh,30.76361,76.23889,1996-05-01,12.92,pre
Punjab,Ludhiana,Raikot Kamalpur,30.70833,75.525,1996-05-01,13.79,pre
Punjab,Ludhiana,Raikot Gobindgarh,30.6,75.5875,1996-05-01,10.17,pre
Punjab,Ludhiana,Pakhowal Raikot,30.65556,75.6,1996-05-01,14.75,pre
Punjab,Ludhiana,Pakhowal Mansuran,30.80833,75.75833,1996-05-01,9.0,pre
Punjab,Ludhiana,Pakhowal Kalak,30.71667,75.78472,1996-05-01,8.45,pre
Punjab,Ludhiana,Pakhowal Gujjarwal,30.74167,75.74167,1996-05-01,9.21,pre
Punjab,Ludhiana,Machhiwara Samrala,30.88333,76.2,1996-05-01,11.2,pre
Punjab,Ludhiana,Machhiwara Sahlumajra,30.90611,76.25306,1996-05-01,4.9,pre
Punjab,Ludhiana,Machhiwara Punian,30.87556,76.14361,1996-05-01,4.0,pre
Punjab,Ludhiana,Machhiwara Mushkabad,30.86611,76.23139,1996-05-01,9.68,pre
Punjab,Ludhiana,Machhiwara Machhiwara,30.9125,76.20417,1996-05-01,8.07,pre
Punjab,Ludhiana,Machhiwara Jodhwal,30.96611,76.20583,1996-05-01,13.77,pre
Punjab,Ludhiana,Machhiwara Hedon,30.82917,76.26667,1996-05-01,11.5,pre
Punjab,Ludhiana,Ludhiana-2 Pratapgarh,30.88889,76.06806,1996-05-01,7.92,pre
Punjab,Ludhiana,Ludhiana-2 Malakpur,30.92083,75.72222,1996-05-01,11.16,pre
Punjab,Ludhiana,Ludhiana-2 Chaunta,30.95694,76.05833,1996-05-01,3.5,pre
Punjab,Ludhiana,Maloud Sahaora,30.65306,76.00778,1996-05-01,8.75,pre
Punjab,Ludhiana,Sidhwan Bet Sidhwan Bet,30.9375,75.4625,1996-05-01,3.99,pre
Punjab,Ludhiana,Ludhiana-1 Kohara,30.86667,76.0,1996-05-01,8.58,pre
Punjab,Ludhiana,Ludhiana City Mudian Kalan,30.8875,75.925,1996-05-01,10.14,pre
Punjab,Ludhiana,Ludhiana-1 Badowal,30.8625,75.75,1996-05-01,10.94,pre
Punjab,Ludhiana,Dehlon Gopalpur,30.7375,75.84167,1996-05-01,8.9,pre
Punjab,Ludhiana,Doraha Kadon,30.76667,76.04167,1996-05-01,9.12,pre
Punjab,Ludhiana,Ludhiana-1 Lalan,30.85,76.075,1996-05-01,2.81,pre
Punjab,Ludhiana,Jagraon Manoke,30.67639,75.46056,1996-05-01,12.59,pre
Punjab,Ludhiana,Ludhiana City Ludhiana,30.90278,75.81111,1996-05-01,15.2,pre
Punjab,Ludhiana,Jagraon Jagraon,30.775,75.47083,1996-05-01,13.95,pre
Punjab,Ludhiana,Ludhiana-1 Kohara,30.86667,76.0,1997-01-01,8.1,jan
Punjab,Ludhiana,Machhiwara Punian,30.87556,76.14361,1997-01-01,3.0,jan
Punjab,Ludhiana,Ludhiana-1 Lalan,30.85,76.075,1997-01-01,2.6,jan
Punjab,Ludhiana,Ludhiana-2 Chaunta,30.95694,76.05833,1997-01-01,3.1,jan
Punjab,Ludhiana,Ludhiana-2 Malakpur,30.92083,75.72222,1997-01-01,10.6,jan
Punjab,Ludhiana,Ludhiana-2 Pratapgarh,30.88889,76.06806,1997-01-01,7.9,jan
Punjab,Ludhiana,Machhiwara Hedon,30.82917,76.26667,1997-01-01,11.3,jan
Punjab,Ludhiana,Machhiwara Machhiwara,30.9125,76.20417,1997-01-01,8.6,jan
Punjab,Ludhiana,Machhiwara Mushkabad,30.86611,76.23139,1997-01-01,2.1,jan
Punjab,Ludhiana,Machhiwara Sahlumajra,30.90611,76.25306,1997-01-01,4.8,jan
Punjab,Ludhiana,Pakhowal Gujjarwal,30.74167,75.74167,1997-01-01,9.0,jan
Punjab,Ludhiana,Maloud Sahaora,30.65306,76.00778,1997-01-01,7.6,jan
Punjab,Ludhiana,Ludhiana-1 Gill,30.85417,75.85833,1997-01-01,9.8,jan
Punjab,Ludhiana,Pakhowal Kalak,30.71667,75.78472,1997-01-01,8.4,jan
Punjab,Ludhiana,Pakhowal Mansuran,30.80833,75.75833,1997-01-01,8.5,jan
Punjab,Ludhiana,Pakhowal Raikot,30.65556,75.6,1997-01-01,13.1,jan
Punjab,Ludhiana,Raikot Gobindgarh,30.6,75.5875,1997-01-01,10.2,jan
Punjab,Ludhiana,Raikot Kamalpur,30.70833,75.525,1997-01-01,11.5,jan
Punjab,Ludhiana,Samrala Seh,30.76361,76.23889,1997-01-01,12.3,jan
Punjab,Ludhiana,Samrala Utlan,30.81944,76.19667,1997-01-01,9.9,jan
Punjab,Ludhiana,Sidhwan Bet Lilan,30.875,75.47917,1997-01-01,7.4,jan
Punjab,Ludhiana,Sidhwan Bet Sidhwan Bet,30.9375,75.4625,1997-01-01,2.6,jan
Punjab,Ludhiana,Machhiwara Samrala,30.88333,76.2,1997-01-01,9.4,jan
Punjab,Ludhiana,Ludhiana-1 Badowal,30.8625,75.75,1997-01-01,10.5,jan
Punjab,Ludhiana,Jagraon Chowkiman,30.82083,75.60694,1997-01-01,7.5,jan
Punjab,Ludhiana,Ludhiana City Ludhiana,30.90278,75.81111,1997-01-01,14.6,jan
Punjab,Ludhiana,Ludhiana City Mudian Kalan,30.8875,75.925,1997-01-01,10.7,jan
Punjab,Ludhiana,Dehlon Dehlon,30.75417,75.84167,1997-01-01,7.0,jan
Punjab,Ludhiana,Jagraon Manoke,30.67639,75.46056,1997-01-01,10.0,jan
Punjab,Ludhiana,Doraha Kadon,30.76667,76.04167,1997-01-01,10.1,jan
Punjab,Ludhiana,Jagraon Chowkiman,30.82083,75.60694,1997-05-01,9.64,pre
Punjab,Ludhiana,Sidhwan Bet Sidhwan Bet,30.9375,75.4625,1997-05-01,3.99,pre
Punjab,Ludhiana,Sidhwan Bet Lilan,30.875,75.47917,1997-05-01,7.75,pre
Punjab,Ludhiana,Sidhwan Bet Bhundri,30.94028,75.58889,1997-05-01,5.35,pre
Punjab,Ludhiana,Samrala Utlan,30.81944,76.19667,1997-05-01,10.6,pre
Punjab,Ludhiana,Samrala Seh,30.76361,76.23889,1997-05-01,13.9,pre
Punjab,Ludhiana,Raikot Kamalpur,30.70833,75.525,1997-05-01,13.74,pre
Punjab,Ludhiana,Raikot Gobindgarh,30.6,75.5875,1997-05-01,10.62,pre
Punjab,Ludhiana,Pakhowal Raikot,30.65556,75.6,1997-05-01,14.75,pre
Punjab,Ludhiana,Pakhowal Kalak,30.71667,75.78472,1997-05-01,9.9,pre
Punjab,Ludhiana,Pakhowal Gujjarwal,30.74167,75.74167,1997-05-01,10.65,pre
Punjab,Ludhiana,Machhiwara Mushkabad,30.86611,76.23139,1997-05-01,9.27,pre
Punjab,Ludhiana,Machhiwara Machhiwara,30.9125,76.20417,1997-05-01,10.0,pre
Punjab,Ludhiana,Machhiwara Jodhwal,30.96611,76.20583,1997-05-01,4.07,pre
Punjab,Ludhiana,Machhiwara Hedon,30.82917,76.26667,1997-05-01,11.55,pre
Punjab,Ludhiana,Ludhiana-2 Pratapgarh,30.88889,76.06806,1997-05-01,8.49,pre
Punjab,Ludhiana,Ludhiana-1 Lalan,30.85,76.075,1997-05-01,7.26,pre
Punjab,Ludhiana,Ludhiana-1 Badowal,30.8625,75.75,1997-05-01,11.39,pre
Punjab,Ludhiana,Khanna Khanna,30.72083,76.20833,1997-05-01,11.47,pre
Punjab,Ludhiana,Maloud Sahaora,30.65306,76.00778,1997-05-01,8.33,pre
Punjab,Ludhiana,Machhiwara Sahlumajra,30.90611,76.25306,1997-05-01,4.8,pre
Punjab,Ludhiana,Jagraon Manoke,30.67639,75.46056,1998-01-01,9.7,jan
Punjab,Ludhiana,Jagraon Chowkiman,30.82083,75.60694,1998-01-01,7.5,jan
Punjab,Ludhiana,Sidhwan Bet Sidhwan Bet,30.9375,75.4625,1998-01-01,2.4,jan
Punjab,Ludhiana,Doraha Kadon,30.76667,76.04167,1998-01-01,9.8,jan
Punjab,Ludhiana,Sidhwan Bet Bhundri,30.94028,75.58889,1998-01-01,7.2,jan
Punjab,Ludhiana,Samrala Utlan,30.81944,76.19667,1998-01-01,9.7,jan
Punjab,Ludhiana,Samrala Seh,30.76361,76.23889,1998-01-01,11.8,jan
Punjab,Ludhiana,Raikot Kamalpur,30.70833,75.525,1998-01-01,11.0,jan
Punjab,Ludhiana,Raikot Gobindgarh,30.6,75.5875,1998-01-01,10.1,jan
Punjab,Ludhiana,Pakhowal Raikot,30.65556,75.6,1998-01-01,12.7,jan
Punjab,Ludhiana,Pakhowal Mansuran,30.80833,75.75833,1998-01-01,8.3,jan
Punjab,Ludhiana,Pakhowal Kalak,30.71667,75.78472,1998-01-01,7.7,jan
Punjab,Ludhiana,Pakhowal Gujjarwal,30.74167,75.74167,1998-01-01,8.5,jan
Punjab,Ludhiana,Maloud Sahaora,30.65306,76.00778,1998-01-01,7.3,jan
Punjab,Ludhiana,Machhiwara Samrala,30.88333,76.2,1998-01-01,9.4,jan
Punjab,Ludhiana,Sidhwan Bet Lilan,30.875,75.47917,1998-01-01,7.2,jan
Punjab,Ludhiana,Machhiwara Mushkabad,30.86611,76.23139,1998-01-01,8.9,jan
Punjab,Ludhiana,Ludhiana City Ludhiana,30.90278,75.81111,1998-01-01,14.4,jan
Punjab,Ludhiana,Ludhiana City Mudian Kalan,30.8875,75.925,1998-01-01,10.0,jan
Punjab,Ludhiana,Ludhiana-1 Badowal,30.8625,75.75,1998-01-01,10.5,jan
Punjab,Ludhiana,Machhiwara Sahlumajra,30.90611,76.25306,1998-01-01,4.6,jan
Punjab,Ludhiana,Ludhiana-1 Kohara,30.86667,76.0,1998-01-01,8.7,jan
Punjab,Ludhiana,Ludhiana-1 Gill,30.85417,75.85833,1998-01-01,9.3,jan
Punjab,Ludhiana,Ludhiana-2 Chaunta,30.95694,76.05833,1998-01-01,2.5,jan
Punjab,Ludhiana,Ludhiana-2 Malakpur,30.92083,75.72222,1998-01-01,10.5,jan
Punjab,Ludhiana,Ludhiana-2 Pratapgarh,30.88889,76.06806,1998-01-01,6.6,jan
Punjab,Ludhiana,Machhiwara Hedon,30.82917,76.26667,1998-01-01,11.1,jan
Punjab,Ludhiana,Machhiwara Machhiwara,30.9125,76.20417,1998-01-01,8.1,jan
Punjab,Ludhiana,Ludhiana-1 Lalan,30.85,76.075,1998-01-01,2.3,jan
Punjab,Ludhiana,Jagraon Chowkiman,30.82083,75.60694,1998-05-01,9.16,pre
Punjab,Ludhiana,Ludhiana-2 Pratapgarh,30.88889,76.06806,1998-05-01,7.21,pre
Punjab,Ludhiana,Ludhiana-2 Chaunta,30.95694,76.05833,1998-05-01,3.04,pre
Punjab,Ludhiana,Ludhiana-1 Lalan,30.85,76.075,1998-05-01,2.7,pre
Punjab,Ludhiana,Jagraon Jagraon,30.775,75.47083,1998-05-01,10.0,pre
Punjab,Ludhiana,Ludhiana-1 Gill,30.85417,75.85833,1998-05-01,12.35,pre
Punjab,Ludhiana,Ludhiana-1 Badowal,30.8625,75.75,1998-05-01,11.56,pre
Punjab,Ludhiana,Ludhiana City Ludhiana,30.90278,75.81111,1998-05-01,16.58,pre
Punjab,Ludhiana,Khanna Khanna,30.72083,76.20833,1998-05-01,11.68,pre
Punjab,Ludhiana,Machhiwara Machhiwara,30.9125,76.20417,1998-05-01,8.62,pre
Punjab,Ludhiana,Ludhiana-1 Kohara,30.86667,76.0,1998-05-01,9.03,pre
Punjab,Ludhiana,Machhiwara Mushkabad,30.86611,76.23139,1998-05-01,9.12,pre
Punjab,Ludhiana,Pakhowal Raikot,30.65556,75.6,1998-05-01,14.81,pre
Punjab,Ludhiana,Maloud Sahaora,30.65306,76.00778,1998-05-01,8.09,pre
Punjab,Ludhiana,Pakhowal Gujjarwal,30.74167,75.74167,1998-05-01,10.63,pre
Punjab,Ludhiana,Pakhowal Kalak,30.71667,75.78472,1998-05-01,9.81,pre
Punjab,Ludhiana,Pakhowal Mansuran,30.80833,75.75833,1998-05-01,9.85,pre
Punjab,Ludhiana,Raikot Gobindgarh,30.6,75.5875,1998-05-01,10.65,pre
Punjab,Ludhiana,Raikot Kamalpur,30.70833,75.525,1998-05-01,13.62,pre
Punjab,Ludhiana,Samrala Seh,30.76361,76.23889,1998-05-01,13.72,pre
Punjab,Ludhiana,Samrala Utlan,30.81944,76.19667,1998-05-01,10.31,pre
